numero_questao,enunciado,alternativas
46,"No Segundo Congresso Internacional de Ciências Geográficas, em 1875, a que compareceram o presidente da República, o governador de Paris e o presidente da Assembleia, o discurso inaugural do almirante La Roucière-Le Noury expôs a atitude predominante no encontro: “Cavalheiros, a Providência nos ditou a obrigação de conhecer e conquistar a terra. Essa ordem suprema é um dos deveres imperiosos inscritos em nossas inteligências e nossas atividades. A geografia, essa ciência que inspira tão bela devoção e em cujo nome foram sacrificadas tantas vítimas, tornou-se a filosofia da terra”.SAID, E. Cultura e política . São Paulo: Cia. das Letras, 1995.No contexto histórico apresentado, a exaltação da ciência geográfica decorre do seu uso para o(a)",A: preservação cultural dos territórios ocupados; B: formação humanitária da sociedade europeia; C: catalogação de dados úteis aos propósitos colonialistas; D: desenvolvimento de técnicas matemáticas de construção de cartas; E: consolidação do conhecimento topográfico como campo acadêmico
47,"A existência em Jerusalém de um hospital voltado para o alojamento e o cuidado dos peregrinos, assim como daqueles entre eles que estavam cansados ou doentes, fortaleceu o elo entre a obra de assistência e de caridade e a Terra Santa. Ao fazer, em 1113, do Hospital de Jerusalém um estabelecimento central da ordem, Pascoal II estimulava a filiação dos hospitalários do Ocidente a ele, sobretudo daqueles que estavam ligados à peregrinação na Terra Santa ou em outro lugar. A militarização do Hospital de Jerusalém não diminuiu a vocação caritativa primitiva, mas a fortaleceu.DEMURGER, A. Os Cavaleiros de Cristo. Rio de Janeiro:  Jorge Zahar, 2002 (adaptado).O acontecimento descrito vincula-se ao fenômeno ocidental do(a)","A: surgimento do monasticismo guerreiro, ocasionado pelas cruzadas; B: descentralização do poder eclesiástico, produzida pelo feudalismo; C: alastramento da peste bubônica, provocado pela expansão comercial; D: afirmação da fraternidade mendicante, estimulada pela reforma espiritual; E: criação das faculdades de medicina, promovida pelo renascimento urbano"
48,"A tribo não possui um rei, mas um chefe que não é chefe de Estado. O que significa isso? Simplesmente que o chefe não dispõe de nenhuma autoridade, de nenhum poder de coerção, de nenhum meio de dar uma ordem. O chefe não é um comandante, as pessoas da tribo não têm nenhum dever de obediência. O espaço da chefia não é o lugar do poder. Essencialmente encarregado de eliminar conflitos que podem surgir entre indivíduos, famílias e linhagens, o chefe só dispõe, para restabelecer a ordem e a concórdia, do prestígio que lhe reconhece a sociedade. Mas evidentemente prestígio não significa poder, e os meios que o chefe detém para realizar sua tarefa de pacificador limitam-se ao uso exclusivo da palavra.CLASTRES, P. A sociedade contra o Estado. Rio de Janeiro: Francisco Alves, 1982 (adaptado).O modelo político das sociedades discutidas no texto contrasta com o do Estado liberal burguês porque se baseia em:",A: Imposição ideológica e normas hierárquicas; B: Determinação divina e soberania monárquica; C: Intervenção consensual e autonomia comunitária; D: Mediação jurídica e regras contratualistas; E: Gestão coletiva e obrigações tributárias
49,"O filósofo reconhece-se pela posse inseparável do gosto da evidência e do sentido da ambiguidade. Quando se limita a suportar a ambiguidade, esta se chama equívoco. Sempre aconteceu que, mesmo aqueles que pretenderam construir uma filosofia absolutamente positiva, só conseguiram ser filósofos na medida em que, simultaneamente, se recusaram o direito de se instalar no saber absoluto. O que caracteriza o filósofo é o movimento que leva incessantemente do saber à ignorância, da ignorância ao saber, e um certo repouso neste movimento.MERLEAU-PONTY, M. Elogio da filosofia . Lisboa: Guimarães, 1998 (adaptado).O texto apresenta um entendimento acerca dos elementos constitutivos da atividade do filósofo, que se caracteriza por",A: reunir os antagonismos das opiniões ao método dialético; B: ajustar a clareza do conhecimento ao inatismo das ideias; C: associar a certeza do intelecto à imutabilidade da verdade; D: conciliar o rigor da investigação à inquietude do questionamento; E: compatibilizar as estruturas do pensamento aos princípios fundamentais
50,"Figura 1Disponível em: www.thehenryford.org. Acesso em: 3 maio 2018.Figura 2Disponível em: www.abc.net.au. Acesso em: 3 maio 2018.Esse ônibus relaciona-se ao ato praticado, em 1955, por Rosa Parks, apresentada em fotografia ao lado de Martin Luther King. O veículo alcançou o estatuto de obra museológica por simbolizar o(a)",A: impacto do medo da corrida armamentista.; B: democratização do acesso à escola pública.; C: preconceito de gênero no transporte coletivo.; D: deflagração do movimento por igualdade civil.; E: eclosão da rebeldia no comportamento juvenil
51,"Desde que tenhamos compreendido o significado da palavra “Deus”, sabemos, de imediato, que Deus existe. Com efeito, essa palavra designa uma coisa de tal ordem que não podemos conceber nada que lhe seja maior. Ora, o que existe na realidade e no pensamento é maior do que o que existe apenas no pensamento. Donde se segue que o objeto designado pela palavra “Deus”, que existe no pensamento, desde que se entenda essa palavra, também existe na realidade. Por conseguinte, a existência de Deus é evidente.TOMÁS DE AQUINO. Suma teológica. Rio de Janeiro: Loyola, 2002.O texto apresenta uma elaboração teórica de Tomás de Aquino caracterizada por",A: reiterar a ortodoxia religiosa contra os heréticos; B: sustentar racionalmente doutrina alicerçada na fé; C: explicar as virtudes teologais pela demonstração; D: flexibilizar a interpretação oficial dos textos sagrados; E: justificar pragmaticamente crença livre de dogmas
52,"TEXTO ITudo aquilo que é válido para um tempo de guerra, em que todo homem é inimigo de todo homem, é válido também para o tempo durante o qual os homens vivem sem outra segurança senão a que lhes pode ser oferecida por sua própria força e invenção.HOBBES, T. Leviatã. São Paulo: Abril Cultural, 1983.TEXTO IINão vamos concluir, com Hobbes que, por não ter nenhuma ideia de bondade, o homem seja naturalmente mau. Esse autor deveria dizer que, sendo o estado de natureza aquele em que o cuidado de nossa conservação é menos prejudicial à dos outros, esse estado era, por conseguinte, o mais próprio à paz e o mais conveniente ao gênero humano.ROUSSEAU, J.-J. Discurso sobre a origem e o fundamento da desigualdade entre os homens. São Paulo: Martins Fontes, 1993 (adaptado).Os trechos apresentam divergências conceituais entre autores que sustentam um entendimento segundo o qual a igualdade entre os homens se dá em razão de uma",A: predisposição ao conhecimento; B: submissão ao transcendente; C: tradição epistemológica; D: condição original; E: vocação política
53,"Foi-se o tempo em que era possível mostrar um mundo econômico organizado em camadas bem definidas, onde grandes centros urbanos se ligavam, por si próprios, a economias adjacentes “lentas”, com o ritmo muito mais rápido do comércio e das finanças de longo alcance. Hoje tudo ocorre como se essas camadas sobrepostas estivessem mescladas e interpermeadas. Interdependências de curto e longo alcance não podem mais ser separadas umas das outras.BRENNER, N. A globalização como reterritorialização. Cadernos Metrópole,  n. 24, jul.-dez. 2010 (adaptado).",A: maior complexidade dos espaços urbanos contemporâneos ressaltada no texto explica-se pelaA expansão de áreas metropolitanas; B: emancipação de novos municípios; C: consolidação de domínios jurídicos; D: articulação de redes multiescalares; E: redefinição de reg iões administr ativas
54,"TEXTO IE pois que em outra cousa nesta parte me não posso vingar do demônio, admoesto da parte da cruz de Cristo Jesus a todos que este lugar lerem, que deem a esta terra o nome que com tanta solenidade lhe foi posto, sob pena de a mesma cruz que nos há de ser mostrada no dia final, os acusar de mais devotos do pau-brasil que dela.BARROS, J. In: SOUZA, L. M. Inferno atlântico : demonologia e colonização:  séculos XVI-XVIII. São Paulo: Cia. das Letras, 1993.TEXTO IIE deste modo se hão os povoadores, os quais, por mais arraigados que na terra estejam e mais ricos que sejam, tudo pretendem levar a Portugal, e, se as fazendas e bens que possuem souberam falar, também lhes houveram de ensinar a dizer como os papagaios, aos quais a primeira coisa que ensinam é: papagaio real para Portugal, porque tudo querem para lá.SALVADOR, F. V. In: SOUZA, L. M. (Org.). História da vida privada no Brasil: cotidiano e vida privada na América portuguesa. São Paulo: Cia. das Letras, 1997.As críticas desses cronistas ao processo de colonização portuguesa na América estavam relacionadas à",A: utilização do trabalho escravo; B: implantação de polos urbanos; C: devastação de áreas naturais; D: ocupação de terras indígenas; E: expropriação de riquezas locais
55,"Os soviéticos tinham chegado a Cuba muito cedo na década de 1960, esgueirando-se pela fresta aberta pela imediata hostilidade norte-americana em relação ao processo social revolucionário. Durante três décadas os soviéticos mantiveram sua presença em Cuba com bases e ajuda militar, mas, sobretudo, com todo o apoio econômico que, como saberíamos anos mais tarde, mantinha o país à tona, embora nos deixasse em dívida com os irmãos soviéticos – e depois com seus herdeiros russos – por cifras que chegavam a US$ 32 bilhões. Ou seja, o que era oferecido em nome da solidariedade socialista tinha um preço definido.PADURA, L. Cuba e os russos. Folha de São Paulo ,  19 jul. 2014 (adaptado).O texto indica que durante a Guerra Fria as relações internas em um mesmo bloco foram marcadas pelo(a)",A: busca da neutralidade política; B: estímulo à competição comercial; C: subordinação à potência hegemônica; D: elasticidade das fronteiras geográficas; E: compartilhamento de pesquisas científicas
